actor,movie_or_TV_name
Shigeru Chiba,Ninja Hattori-kun + Perman: Ninja Beast Jippō vs. Miracle Egg
Shigeru Chiba,Megazone 23
Shigeru Chiba,Urusei Yatsura: Remember My Love
Shigeru Chiba,Dr. Slump and Arale-chan: Hoyoyo! The Treasure of Nanaba Castle
Shigeru Chiba,Fist of the North Star
Shigeru Chiba,Panzer World Galient
Shigeru Chiba,Bagi: The Monster of Mighty Nature
Shigeru Chiba,魔法の妖精 ペルシャ
Shigeru Chiba,Chikkun Takkun
Shigeru Chiba,Ninja Hattori-kun + Perman: ESP Wars
Shigeru Chiba,Urusei Yatsura: Beautiful Dreamer
Koichi Yamadera,Go! Anpanman: Go! The Exciting Anpanman Grand Prix
Koichi Yamadera,Gintama: The Movie
Koichi Yamadera,Yona Yona Penguin
Koichi Yamadera,Space Battleship Yamato Resurrection
Koichi Yamadera,Professor Layton and the Eternal Diva
Koichi Yamadera,Yatterman: All New YatterMechas Assembled! Great Decisive Battle in the Toy Kingdom!
Akio Otsuka,The Snow Queen
Akio Otsuka,One Piece: Baron Omatsuri and the Secret Island
Akio Otsuka,Mahou Sentai Magiranger
Akio Otsuka,Black Jack
Akio Otsuka,Bleach
Akio Otsuka,Howl's Moving Castle
Akio Otsuka,Mobile Suit Gundam MS IGLOO
Akio Otsuka,Samurai Champloo
Tessyo Genda,Wizardry
Tessyo Genda,"I am Devilman, the Devil!"
Tessyo Genda,Adventures of the Little Mermaid
Tessyo Genda,The Mischievous Twins
Tessyo Genda,Sword for Truth
Tessyo Genda,Mad Bull 34
Tessyo Genda,Hakkenden: Legend of the Dog Warriors
Tessyo Genda,City Hunter: Bay City Wars
Tessyo Genda,City Hunter: Million Dollar Conspiracy
Tessyo Genda,"Midoriyama High School, Koshien Edition (Movie)"
Tessyo Genda,Cyber City Oedo 808
Shigeru Chiba,Document: Fang of the Sun Dougram
Shigeru Chiba,Little Big Nose
Shigeru Chiba,Mrs. Pepper Pot
Shigeru Chiba,Armored Trooper VOTOMS
Shigeru Chiba,Dr. Slump and Arale-chan: Hoyoyo! The Great Race Around The World
Shigeru Chiba,Urusei Yatsura: Only You
Shigeru Chiba,Dr. Slump: Hoyoyo! Space Adventure
Koichi Yamadera,20th Century Boys 3: Redemption
Koichi Yamadera,Pokémon: Arceus and the Jewel of Life
Koichi Yamadera,Go! Anpanman: Dadandan and the Twin Stars
Koichi Yamadera,Go! Anpanman: Baikinman VS Baikinman!?
Koichi Yamadera,Evangelion: 2.0 You Can (Not) Advance
Koichi Yamadera,The River's Light
Akio Otsuka,Monster
Akio Otsuka,今日から㋮王!
Akio Otsuka,Kyo Kara Maoh!
Akio Otsuka,Sgt. Frog
Akio Otsuka,Ghost in the Shell 2: Innocence
Akio Otsuka,Nitaboh
Akio Otsuka,The Making of Ghost in the Shell 2: Innocence
Akio Otsuka,Black Jack Special: The 4 Miracles of Life
Akio Otsuka,Inuyasha the Movie 3: Swords of an Honorable Ruler
Akio Otsuka,Tokyo Godfathers
Tessyo Genda,Cyber City Oedo 808
Tessyo Genda,A.D. Police Files
Tessyo Genda,Goddamn
Tessyo Genda,Goddamn
Tessyo Genda,Heavy
Tessyo Genda,Sol Bianca
Tessyo Genda,MAROKO
Tessyo Genda,Seriously!
Shigeru Chiba,Queen Millennia
Shigeru Chiba,Space Warriors Baldios
Shigeru Chiba,Fang of the Sun Dougram
Shigeru Chiba,Miss Machiko
Shigeru Chiba,Dr. Slump and Arale-chan: Hello! Wonder Island
Shigeru Chiba,Dr. Slump
Shigeru Chiba,The Wonderful Adventures of Nils
Koichi Yamadera,Fullmetal Alchemist: Brotherhood
Koichi Yamadera,東京サンシャインボーイズ『returns』
Koichi Yamadera,Yatterman
Koichi Yamadera,Go! Anpanman: Franken-Robo-kun's Surprised Christmas
Koichi Yamadera,Stitch!
Koichi Yamadera,Pokémon: Giratina and the Sky Warrior
Koichi Yamadera,Go! Anpanman: The Secret of Fairy Rin-Rin
Koichi Yamadera,Ghost in the Shell 2.0
Akio Otsuka,The Galaxy Railways
Tessyo Genda,Urusei Yatsura: Catch the Heart
Tessyo Genda,Ys
Tessyo Genda,Cybernetics Guardian
Tessyo Genda,Aim For The Ace! Final Stage
Tessyo Genda,Project A-Ko 4: Final
Shigeru Chiba,X-Bomber
Shigeru Chiba,Back to the Forest
Shigeru Chiba,The Wonderful Adventures of Nils
Shigeru Chiba,Misha The Bearcub
Shigeru Chiba,The☆Ultraman
Koichi Yamadera,Allison & Lillia
Koichi Yamadera,Megumi
Koichi Yamadera,The Fantastic Deer-Man
Koichi Yamadera,Yatterman
Koichi Yamadera,Nasu: A Migratory Bird with Suitcase
Koichi Yamadera,Appleseed: Ex Machina
Akio Otsuka,Requiem from the Darkness
Akio Otsuka,The Animatrix
Akio Otsuka,Piano: The Melody of a Young Girl's Heart
Akio Otsuka,Saint Seiya: The Hades Chapter
Akio Otsuka,Ghost in the Shell: Stand Alone Complex
Tessyo Genda,Legend of Lemnear
Tessyo Genda,Sonic Soldier Borgman: Last Battle
Tessyo Genda,Angel Cop
Tessyo Genda,Gosenzo-sama Banbanzai!
Tessyo Genda,紅い牙 ブルー・ソネット
Tessyo Genda,Riki-Oh: The Wall of Hell
Shigeru Chiba,Koichiro Uno's Wet and Open
Shigeru Chiba,Bathhouse 911: Jellyfish Bliss
Shigeru Chiba,Tomorrow's Joe
Shigeru Chiba,Marude Dameo
Koichi Yamadera,Sword of the Stranger
Koichi Yamadera,Pokémon: The Rise of Darkrai
Koichi Yamadera,Fist of the North Star: Legend of Raoh - Chapter of Fierce Fight
Koichi Yamadera,Oh! Edo Rocket
Koichi Yamadera,アンパンマンとはじめよう!お歌と手あそび編 いっしょにてあそび
Akio Otsuka,Tenchi Muyo! GXP
Akio Otsuka,るろうに剣心 -明治剣客浪漫譚- 星霜編
Akio Otsuka,Cyborg 009
Akio Otsuka,Lupin the Third: Alcatraz Connection
Akio Otsuka,Kinnikuman II
Akio Otsuka,Touch: Cross Road
Akio Otsuka,Luffy's Fall! The Unexplored Region - Grand Adventure in the Ocean's Navel
Tessyo Genda,City Hunter: .357 Magnum
Tessyo Genda,Venus Wars
Tessyo Genda,The Three Musketeers: Adventure of Aramis
Tessyo Genda,The Adventures of Peter Pan
Tessyo Genda,Hades Project: Zeorymer Extinction
Tessyo Genda,Shuten Doji - The Star Hand Kid
Koichi Yamadera,Paprika
Koichi Yamadera,Intrigue in the Bakumatsu – Irohanihoheto
Koichi Yamadera,Fist of the Blue Sky
Koichi Yamadera,Ghost in the Shell: Stand Alone Complex – Solid State Society
Akio Otsuka,Osamu Tezuka's Last Mystery of the 20th Century
Akio Otsuka,Black Jack: Capital Transfer To Heian
Akio Otsuka,Sin: The Movie
Akio Otsuka,Fighting Spirit
Tessyo Genda,Space Family Carlvinson
Tessyo Genda,Dragon Century
Tessyo Genda,"Fair, then Partly Piggy"
Tessyo Genda,Vampire Princess Miyu
Tessyo Genda,Akira
Tessyo Genda,Dragon Ball: Mystical Adventure
Tessyo Genda,Charge!! Men's Private School
Tessyo Genda,Project A-Ko 3: Cinderella Rhapsody
Tessyo Genda,Balthus: Tia's Radiance
Koichi Yamadera,Pokémon Ranger and the Temple of the Sea
Koichi Yamadera,Go! Anpanman: Kokin-chan and the Blue Tears
Koichi Yamadera,Tachigui: The Amazing Lives of the Fast Food Grifters
Koichi Yamadera,Gintama
Koichi Yamadera,Zorori the Naughty Hero: Quest For The Mysterious Treasure
Koichi Yamadera,Ghost in the Shell: S.A.C. 2nd GIG – Individual Eleven
Akio Otsuka,Devilman - Volume 3: Devilman Apocalypse
Akio Otsuka,Crayon Shin-chan: A Storm-invoking Jungle
Akio Otsuka,Ghiblies
Akio Otsuka,Magic User's Club!
Akio Otsuka,Meltylancer: The Animation
Tessyo Genda,Saint Seiya: The Heated Battle of the Gods
Tessyo Genda,Urusei Yatsura: The Final Chapter
Tessyo Genda,Hades Project: Zeorymer Separation
Tessyo Genda,The Phoenix: Space Chapter
Tessyo Genda,Good Morning Althea
Tessyo Genda,Taiman Blues Naoto Shimizu Chapter
Tessyo Genda,Devilman
Tessyo Genda,Grimm's Fairy Tale Classics
Koichi Yamadera,Suite Dreams
Koichi Yamadera,Stormy Night
Koichi Yamadera,Ghost in the Shell: Stand Alone Complex – The Laughing Man
Koichi Yamadera,Pokémon: Lucario and the Mystery of Mew
Koichi Yamadera,Detective Conan: Strategy Above the Depths
Koichi Yamadera,Xenosaga: The Animation
Akio Otsuka,Kyuukyuu Sentai GoGoFive
Akio Otsuka,Rayearth Special Version -Wings of Hope-
Akio Otsuka,Steam Detectives
Akio Otsuka,Kurogane Communication
Akio Otsuka,Popolocrois Monogatari
Akio Otsuka,Golgo 13: Queen Bee
Akio Otsuka,Neo Ranga
Tessyo Genda,Kamen no Ninja Akakage
Tessyo Genda,Norakuro-kun
Tessyo Genda,TO-Y
Koichi Yamadera,Godzilla: Final Wars
Koichi Yamadera,Movie box-ing
Koichi Yamadera,Bleach
Koichi Yamadera,Pokémon: Destiny Deoxys
Koichi Yamadera,Sore Ike! Anpanman: Tsukiko to Shiratama - Tokimeki Dancing
Koichi Yamadera,Ghost in the Shell 2: Innocence
Koichi Yamadera,Tokyo Godfathers
Akio Otsuka,Cowboy Bebop
Akio Otsuka,Legend of Basara
Akio Otsuka,TRIGUN
Akio Otsuka,Ultra Nyan 2: The Great Happy Operation
Akio Otsuka,Seijuu Sentai Gingaman
Akio Otsuka,TEKKEN: The Motion Picture
Akio Otsuka,Detatoko Princess
Akio Otsuka,Vampire Princess Miyu
Tessyo Genda,Lily C.A.T.
Tessyo Genda,Project A-Ko 2: Plot of the Daitokuji Financial Group
Tessyo Genda,City Hunter
Tessyo Genda,Maryuu Senki
Tessyo Genda,The Red Spectacles
Tessyo Genda,Campus Special Investigator Hikaruon
Tessyo Genda,They Were Eleven
Tessyo Genda,Anmitsu Hime: From Amakara Castle
Koichi Yamadera,Heart Cocktail Again
Koichi Yamadera,Mermaid's Forest
Koichi Yamadera,Pokémon: Jirachi - Wish Maker
Koichi Yamadera,Go! Anpanman: Ruby's Wish
Koichi Yamadera,Bakuryu Sentai Abaranger
Akio Otsuka,Eikou e no Spur: Igaya Chiharu Monogatari
Akio Otsuka,Hyper Speed GranDoll
Akio Otsuka,Hyper Speed GranDoll
Akio Otsuka,Hakugei: Legend of the Moby Dick
Tessyo Genda,Urusei Yatsura: Memorial Album
Tessyo Genda,Bomber Bikers of Shonan
Tessyo Genda,The Scarred Man
Tessyo Genda,Project A-Ko
Tessyo Genda,Violence Jack: Harlem Bomber
Tessyo Genda,Transformers: Scramble City
Tessyo Genda,Prefectural Earth Defense Force
Koichi Yamadera,Lupin the Third: Operation: Return the Treasure
Koichi Yamadera,Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey
Koichi Yamadera,Ghost in the Shell: Stand Alone Complex
Koichi Yamadera,Millennium Actress
Akio Otsuka,Hyper Police
Akio Otsuka,Night Warriors: Darkstalkers' Revenge
Akio Otsuka,Denji Sentai Megaranger
Akio Otsuka,Ayane's High Kick
Akio Otsuka,Black Jack: The Movie
Akio Otsuka,Panzer Dragoon
Tessyo Genda,Dragon Ball
Tessyo Genda,Spaceship Sagittarius
Tessyo Genda,Fire Tripper
Tessyo Genda,Showa Era Idiot Story Book: Most Refined
Tessyo Genda,Odin: Starlight Mutiny
Tessyo Genda,Urusei Yatsura: Remember My Love
Tessyo Genda,Urusei Yatsura: Beautiful Dreamer
Koichi Yamadera,Pokémon Heroes
Koichi Yamadera,Go! Anpanman: Sushi-roll Maki-chan and Gold Kamameshidon
Koichi Yamadera,M-1 Grand Prix
Koichi Yamadera,Kirby: Right Back at Ya!
Koichi Yamadera,Cowboy Bebop: The Movie
Koichi Yamadera,Pokémon 4Ever
Akio Otsuka,Twin Signal
Akio Otsuka,The Heroic Elegy of Confucius
Akio Otsuka,Slayers Return
Akio Otsuka,Birdy the Mighty
Akio Otsuka,Blue Seed Beyond
Tessyo Genda,Dallos
Tessyo Genda,Dallos
Tessyo Genda,Mrs. Pepper Pot
Tessyo Genda,Armored Trooper VOTOMS
Tessyo Genda,Miyuki
Tessyo Genda,Dr. Slump and Arale-chan: Hoyoyo! The Great Race Around The World
Tessyo Genda,Future Police Urashiman
Koichi Yamadera,Godzilla vs. Megaguirus
Koichi Yamadera,Reign: The Conqueror Movie
Koichi Yamadera,Vampire Hunter D: Bloodlust
Koichi Yamadera,Go! Anpanman: Tears of the Mermaid Princess
Koichi Yamadera,Pokémon 3: The Movie
Koichi Yamadera,"The Password is ""Courage"""
Koichi Yamadera,The Tree In Sunlight
Koichi Yamadera,Reign: The Conqueror
Akio Otsuka,Midori no Makibaō
Akio Otsuka,Fire Emblem
Akio Otsuka,City Hunter Special: The Secret Service
Akio Otsuka,Silent Service
Akio Otsuka,Ghost in the Shell
Akio Otsuka,Saint Tail
Akio Otsuka,Mii-chan no Tenohira
Akio Otsuka,Princess Minerva
Tessyo Genda,Future War 198X
Tessyo Genda,Tokimeki Tonight
Tessyo Genda,Dr. Slump: Hoyoyo! Space Adventure
Tessyo Genda,Space Warriors Baldios
Tessyo Genda,Hear the Wind Sing
Tessyo Genda,Fang of the Sun Dougram
Koichi Yamadera,Go! Anpanman: When the Flower of Courage opens
Koichi Yamadera,Pokémon the Movie 2000
Koichi Yamadera,Saiyuki
Koichi Yamadera,"Doraemons: Strange, Sweet, Strange?"
Koichi Yamadera,Harlock Saga - The Ring of the Nibelungs
Koichi Yamadera,Otoko wa Tsurai yo: Torajirou Wasurenagusa
Koichi Yamadera,Go! Anpanman: Anpanman and his Strange Friend
Akio Otsuka,Lupin the Third: Farewell to Nostradamus
Akio Otsuka,Slayers
Akio Otsuka,Mobile Suit Gundam Wing
Akio Otsuka,Street Fighter II: Return to Fujiwara Capital
Akio Otsuka,Chouriki Sentai Ohranger
Akio Otsuka,Ghost in the Shell: Production Report
Akio Otsuka,Mighty Space Miners
Akio Otsuka,Magic Knight Rayearth
Tessyo Genda,Urusei Yatsura
Tessyo Genda,Dogtanian and the Three Muskehounds
Tessyo Genda,Dr. Slump and Arale-chan: Hello! Wonder Island
Tessyo Genda,Dr. Slump
Tessyo Genda,Beast King GoLion
Tessyo Genda,Space Emperor God Sigma
Tessyo Genda,The Wonderful Adventures of Nils
Tessyo Genda,Space Warrior Baldios
Tessyo Genda,Fighting General Daimos
Tessyo Genda,Super Electromagnetic Machine Voltes V
Koichi Yamadera,Lupin the Third: Tokyo Crisis
Koichi Yamadera,Pokémon: The First Movie
Koichi Yamadera,Queen Emeraldas
Koichi Yamadera,Crayon Shin-chan: Dengeki! Buta no Hizume Daisakusen
Koichi Yamadera,Cowboy Bebop
Koichi Yamadera,Evangelion: Death (True)²
Koichi Yamadera,Revival of Evangelion
Koichi Yamadera,Galaxy Express 999: Eternal Fantasy
Koichi Yamadera,Photon: The Idiot Adventures
Akio Otsuka,Blue Seed
Akio Otsuka,Darkside Blues
Akio Otsuka,Ogre Slayer
Akio Otsuka,Kizuna
Akio Otsuka,Seven Cities Story: Arctic Front
Akio Otsuka,Seven Cities Story: Arctic Front
Akio Otsuka,Montana Jones
Tessyo Genda,Voltes V
Tessyo Genda,Dokaben
Tessyo Genda,Blocker Gundan 4 Machine Blaster
Koichi Yamadera,Saving Soldier Cashman
Koichi Yamadera,Go! Anpanman: The Pyramid of the Rainbow
Koichi Yamadera,Cutie Honey Flash: The Movie
Koichi Yamadera,City Hunter Special: Goodbye My Sweetheart
Koichi Yamadera,Night Warriors: Darkstalkers' Revenge
Koichi Yamadera,Neon Genesis Evangelion: Death and Rebirth
Akio Otsuka,Crows
Akio Otsuka,Mighty Space Miners
Akio Otsuka,Black Jack
Akio Otsuka,Dragon Half
Akio Otsuka,Dragon Half
Akio Otsuka,Ambassador Magma
Akio Otsuka,Ambassador Magma
Akio Otsuka,Armored Dragon Legend Villgust
Akio Otsuka,Scramble Wars
Koichi Yamadera,Apocalypse Zero
Koichi Yamadera,X: The Movie
Koichi Yamadera,Go! Anpanman: The Flying Picture Book and the Glass Shoes
Koichi Yamadera,"Go! Anpanman: Baikinman and the 3-""Bai"" Punch"
Koichi Yamadera,Shamanic Princess
Koichi Yamadera,Special Duty Combat Unit Shinesman
Koichi Yamadera,Memories
Akio Otsuka,Matchless Raijin-Oh OVA
Akio Otsuka,Lupin the Third: From Siberia with Love
Akio Otsuka,Comet in Moominland
Akio Otsuka,Porco Rosso
Akio Otsuka,Genesis Survivor Gaiarth
Akio Otsuka,Genesis Surviver Gaiarth
Koichi Yamadera,Compiler Festa
Koichi Yamadera,Ghost in the Shell
Koichi Yamadera,Elf Princess Ren
Koichi Yamadera,Neon Genesis Evangelion
Koichi Yamadera,Go! Anpanman: Let's Defeat the Haunted Ship!!
Koichi Yamadera,Ruin Explorers - Fam & Ihrie
Koichi Yamadera,Tokyo Revelation
Koichi Yamadera,Wild 7
Akio Otsuka,Inferious Interplanetary War Chronicle - Condition Green
Akio Otsuka,Otaku no Video
Akio Otsuka,Lupin the Third: Napoleon's Dictionary
Akio Otsuka,3x3 Eyes
Akio Otsuka,Nadia: The Secret of Blue Water - Nautilus Story III
Akio Otsuka,Nadia: The Secret of Blue Water - Nautilus Story II
Akio Otsuka,Nadia: The Secret of Blue Water - Nautilus Story I
Akio Otsuka,Mobile Suit Gundam 0083: Stardust Memory
Koichi Yamadera,Wild 7: Biker Knights
Koichi Yamadera,Darkside Blues
Koichi Yamadera,Phantom Quest Corp.
Koichi Yamadera,Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix
Koichi Yamadera,Seven Cities Story: Arctic Front
Koichi Yamadera,Seven Cities Story: Arctic Front
Akio Otsuka,Sukeban Deka
Akio Otsuka,Sukeban Deka
Akio Otsuka,Capricorn
Akio Otsuka,Mad Bull 34
Akio Otsuka,Hakkenden: Legend of the Dog Warriors
Akio Otsuka,"Midoriyama High School, Koshien Edition (Movie)"
Akio Otsuka,Lightning Trap: Leina & Laika
Koichi Yamadera,Compiler
Koichi Yamadera,Super Dimension Century Orguss 02
Koichi Yamadera,魔神英雄伝ワタル 終わりなき時の物語
Koichi Yamadera,Sonic Soldier Borgman 2: New Century 2058
Koichi Yamadera,Suikoden Demon Century
Koichi Yamadera,Mermaid's Scar
Koichi Yamadera,The Gigolo: Dochinpira
Koichi Yamadera,Sleepless Oedo
Koichi Yamadera,Go! Anpanman: Nosshi the Dinosaur's Big Adventure
Akio Otsuka,Nadia: The Secret of Blue Water
Akio Otsuka,Moomin
Akio Otsuka,Magical Hat
Akio Otsuka,Patlabor: The TV Series
Akio Otsuka,Legend of Lemnear
Akio Otsuka,Angel Cop
Koichi Yamadera,Ninja Scroll
Koichi Yamadera,Mask of Zeguy
Koichi Yamadera,Matchless Passion Go-Saurer
Koichi Yamadera,Treasure Island Memorial
Akio Otsuka,Kiki's Delivery Service
Akio Otsuka,Riki-Oh: The Wall of Hell
Akio Otsuka,Shuten Doji - The Star Hand Kid
Akio Otsuka,Armor Hunter Mellowlink
Akio Otsuka,Otaku no Video
Akio Otsuka,Lupin the Third
Akio Otsuka,Kamen Rider
Koichi Yamadera,Green Legend Ran
Koichi Yamadera,Tokyo Babylon
Koichi Yamadera,Talking Head
Koichi Yamadera,Super Zugan
Koichi Yamadera,OZ
Koichi Yamadera,OZ
Koichi Yamadera,Ranma ½: The Movie 2 — The Battle of Togenkyo: Rescue the Brides!
Koichi Yamadera,"Run, Melos!"
Koichi Yamadera,Go! Anpanman: The Secret of Tsumiki Castle
Koichi Yamadera,Go! Anpanman: Anpanman and His Pleasant Friends
Koichi Yamadera,Moonlight Pierce
Koichi Yamadera,Ranma ½: The Movie — The Battle of Nekonron: The Fight to Break the Rules!
Koichi Yamadera,Detonator Orgun
Koichi Yamadera,Detonator Orgun
Koichi Yamadera,Mermaid Forest
Koichi Yamadera,Go! Anpanman: Dokin-chan's Doki Doki Calendar
Koichi Yamadera,Nadia: The Secret of Blue Water - Nautilus Story I
Koichi Yamadera,Nadia: The Secret of Blue Water - Nautilus Story III
Koichi Yamadera,Baku Yumemakura's Twilight Theatre
Koichi Yamadera,Ariel Deluxe
Koichi Yamadera,"I am Devilman, the Devil!"
Koichi Yamadera,Sonic Soldier Borgman: Lover's Rain
Koichi Yamadera,TOKYO CITY Mercen 3 Champ/SHOUT
Koichi Yamadera,Hakkenden: Legend of the Dog Warriors
Koichi Yamadera,TOKYO CITY Melhen 2
Koichi Yamadera,Nineteen 19
Koichi Yamadera,Go! Anpanman: Baikinman's Counterattack
Koichi Yamadera,Go! Anpanman: Omusubiman
Koichi Yamadera,Lightning Trap: Leina & Laika
Koichi Yamadera,Goddamn
Koichi Yamadera,Goddamn
Koichi Yamadera,Nadia: The Secret of Blue Water
Koichi Yamadera,MAROKO
Koichi Yamadera,Samurai Pizza Cats
Koichi Yamadera,Assemble Insert
Koichi Yamadera,Go! Anpanman: The Shining Star's Tear
Koichi Yamadera,Bucchigiri
Koichi Yamadera,Megazone 23 Part III
Koichi Yamadera,Megazone 23 III - Part 1 - The Awakening of Eve
Koichi Yamadera,Gosenzo-sama Banbanzai!
Koichi Yamadera,Kiki's Delivery Service
Koichi Yamadera,ARIEL: All Round Intercept & Escort Lady
Koichi Yamadera,Ranma ½
Koichi Yamadera,Madö King Granzört
Koichi Yamadera,Urotsukidōji: Legend of the Overfiend
Koichi Yamadera,Venus Wars
Koichi Yamadera,Utsunomiko
Koichi Yamadera,Goku: Midnight Eye
Koichi Yamadera,The Adventures of Peter Pan
Koichi Yamadera,Expunged Chronicle of Miroku
Koichi Yamadera,Armor Hunter Mellowlink
Koichi Yamadera,Oishinbo
Koichi Yamadera,Kimagure Orange Road: I Want to Return to That Day
Koichi Yamadera,Go! Anpanman
Koichi Yamadera,Ten Little Gall Force
Koichi Yamadera,Sonic Soldier Borgman
Koichi Yamadera,The Burning Wild Man
Koichi Yamadera,Mobile Suit Gundam: Char's Counterattack
Koichi Yamadera,Mami the Psychic: Dancing Dolls in a Starry Sky
Koichi Yamadera,Lupin the Third: The Fuma Conspiracy
Koichi Yamadera,Zillion
Koichi Yamadera,Bubblegum Crisis
Koichi Yamadera,Bosco Adventure
Koichi Yamadera,Megazone 23
Koichi Yamadera,Megazone 23
Koichi Yamadera,Lupin the Third
Koichi Yamadera,Kamen Rider
